product_id,roll_number,shaft_height,shaft_radius
LOAD_SHAFT_1756468379953_174_QL61C3,LOAD_ROLL_1756468379953_174,30.46,20.2
LOAD_SHAFT_1756468379953_190_1DF98L,LOAD_ROLL_1756468379953_190,48.39,9.53
LOAD_SHAFT_1756468379953_170_XS90KN,LOAD_ROLL_1756468379953_170,39.35,21.75
LOAD_SHAFT_1756468379953_194_BE703X,LOAD_ROLL_1756468379953_194,13.58,24.91
LOAD_SHAFT_1756468379953_156_Z60DGG,LOAD_ROLL_1756468379953_156,24.86,8.72
LOAD_SHAFT_1756468379953_198_INSOOV,LOAD_ROLL_1756468379953_198,31.96,22.57
LOAD_SHAFT_1756468379953_192_2S519V,LOAD_ROLL_1756468379953_192,47.91,5.53

LOAD_SHAFT_1756468379953_164_J2QCID,LOAD_ROLL_1756468379953_164,10.45,9.99
LOAD_SHAFT_1756468379953_178_HDBFXV,LOAD_ROLL_1756468379953_178,21.42,5.96
LOAD_SHAFT_1756468379953_162_WN9X66,LOAD_ROLL_1756468379953_162,32.19,19.36
LOAD_SHAFT_1756468379953_154_KSVHKZ,LOAD_ROLL_1756468379953_154,11.23,23.58
LOAD_SHAFT_1756468379953_186_EGEZX8,LOAD_ROLL_1756468379953_186,12.56,6.89
LOAD_SHAFT_1756468379953_184_X3SUDF,LOAD_ROLL_1756468379953_184,43.52,20.56
LOAD_SHAFT_1756468379953_166_1Q3UXU,LOAD_ROLL_1756468379953_166,22.32,17.87
LOAD_SHAFT_1756468379953_182_FT60WL,LOAD_ROLL_1756468379953_182,30.1,7.72
LOAD_SHAFT_1756468379953_160_D5XQ4N,LOAD_ROLL_1756468379953_160,49.64,10.11
LOAD_SHAFT_1756468379953_196_4YGJQA,LOAD_ROLL_1756468379953_196,45.68,19.03
LOAD_SHAFT_1756468379953_176_D7P8XE,LOAD_ROLL_1756468379953_176,34.81,13.88
LOAD_SHAFT_1756468379953_152_XZSPI0,LOAD_ROLL_1756468379953_152,36.8,20.17
LOAD_SHAFT_1756468379953_172_NNS22N,LOAD_ROLL_1756468379953_172,38.79,22.05
LOAD_SHAFT_1756468379953_180_3ZO2KW,LOAD_ROLL_1756468379953_180,27.83,19.59
LOAD_SHAFT_1756468379953_200_A0SDRB,LOAD_ROLL_1756468379953_200,25.88,13.73
LOAD_SHAFT_1756468379953_218_1PBJJO,LOAD_ROLL_1756468379953_218,42.81,6.08
LOAD_SHAFT_1756468379953_224_Y0XKOQ,LOAD_ROLL_1756468379953_224,36.22,20.19
LOAD_SHAFT_1756468379953_222_Y59ZOH,LOAD_ROLL_1756468379953_222,41.06,23.16
LOAD_SHAFT_1756468379953_230_ZXQGT6,LOAD_ROLL_1756468379953_230,28.12,22.14
LOAD_SHAFT_1756468379953_214_R4W52A,LOAD_ROLL_1756468379953_214,22.21,9.31
LOAD_SHAFT_1756468379953_206_6EB5JO,LOAD_ROLL_1756468379953_206,13.66,12.64
LOAD_SHAFT_1756468379953_208_LEE81D,LOAD_ROLL_1756468379953_208,33.95,14.33
LOAD_SHAFT_1756468379953_240_3QG8E5,LOAD_ROLL_1756468379953_240,28.79,15.09
LOAD_SHAFT_1756468379953_204_ND2PLK,LOAD_ROLL_1756468379953_204,48.39,23.92
LOAD_SHAFT_1756468379953_210_MPM711,LOAD_ROLL_1756468379953_210,37.58,16.65
LOAD_SHAFT_1756468379953_226_JKCGX4,LOAD_ROLL_1756468379953_226,26.07,20.54
LOAD_SHAFT_1756468379953_212_5VLJSN,LOAD_ROLL_1756468379953_212,41.17,14.13
LOAD_SHAFT_1756468379953_216_NUOHLT,LOAD_ROLL_1756468379953_216,26.34,7.28
LOAD_SHAFT_1756468379953_238_67MQFW,LOAD_ROLL_1756468379953_238,21.63,17.12
LOAD_SHAFT_1756468379953_234_C04OOX,LOAD_ROLL_1756468379953_234,37.21,7.47
LOAD_SHAFT_1756468379953_236_9DG606,LOAD_ROLL_1756468379953_236,45.52,11.79
LOAD_SHAFT_1756468379953_202_K9IZOD,LOAD_ROLL_1756468379953_202,17.07,17.92
LOAD_SHAFT_1756468379953_220_JU94QG,LOAD_ROLL_1756468379953_220,16.87,15.4
LOAD_SHAFT_1756468379953_232_S9NFVD,LOAD_ROLL_1756468379953_232,17.82,14.13
LOAD_SHAFT_1756468379953_228_9PNKKF,LOAD_ROLL_1756468379953_228,17.85,9.94
LOAD_SHAFT_1756468379953_242_81W8AJ,LOAD_ROLL_1756468379953_242,10.34,16.86
LOAD_SHAFT_1756468379953_246_I026TZ,LOAD_ROLL_1756468379953_246,23.09,5.62
LOAD_SHAFT_1756468379953_244_8IP6XW,LOAD_ROLL_1756468379953_244,38.06,17.86
LOAD_SHAFT_1756468379953_248_RXM4CR,LOAD_ROLL_1756468379953_248,16.28,6.08
LOAD_SHAFT_1756468379953_250_9PBNAS,LOAD_ROLL_1756468379953_250,45.88,18.65
LOAD_SHAFT_1756468379953_262_E34NQP,LOAD_ROLL_1756468379953_262,39.56,10.46
LOAD_SHAFT_1756468379953_254_ZPA232,LOAD_ROLL_1756468379953_254,39.67,7.87
LOAD_SHAFT_1756468379953_274_38CEZB,LOAD_ROLL_1756468379953_274,20.79,19.27
LOAD_SHAFT_1756468379953_280_C3NJYE,LOAD_ROLL_1756468379953_280,28.61,19.02
LOAD_SHAFT_1756468379953_286_Y2ZKT4,LOAD_ROLL_1756468379953_286,37.18,15.56
LOAD_SHAFT_1756468379953_258_5V7X4S,LOAD_ROLL_1756468379953_258,27.13,19.36
LOAD_SHAFT_1756468379953_282_93QF4F,LOAD_ROLL_1756468379953_282,26.5,13.73
LOAD_SHAFT_1756468379953_290_JDPS0M,LOAD_ROLL_1756468379953_290,25.14,17.28
LOAD_SHAFT_1756468379953_268_FZT9EH,LOAD_ROLL_1756468379953_268,18.41,13.63
LOAD_SHAFT_1756468379953_278_Z280A9,LOAD_ROLL_1756468379953_278,28.34,11.54
LOAD_SHAFT_1756468379953_252_07AV1R,LOAD_ROLL_1756468379953_252,28.24,5.48
LOAD_SHAFT_1756468379953_264_SLG1EJ,LOAD_ROLL_1756468379953_264,19.94,16.95
LOAD_SHAFT_1756468379953_256_4VR9IE,LOAD_ROLL_1756468379953_256,43.73,19.71
LOAD_SHAFT_1756468379953_266_CRFWZ9,LOAD_ROLL_1756468379953_266,29.44,12.2
LOAD_SHAFT_1756468379953_272_M8A683,LOAD_ROLL_1756468379953_272,19.07,15.32
LOAD_SHAFT_1756468379953_270_UYQ5NP,LOAD_ROLL_1756468379953_270,19.76,17.35
LOAD_SHAFT_1756468379953_260_IIVO8Q,LOAD_ROLL_1756468379953_260,36.82,20.07
LOAD_SHAFT_1756468379953_276_B7XRK9,LOAD_ROLL_1756468379953_276,21.66,18.79
LOAD_SHAFT_1756468379953_288_VPY7XV,LOAD_ROLL_1756468379953_288,16.53,7.59
LOAD_SHAFT_1756468379953_284_7IQXR5,LOAD_ROLL_1756468379953_284,38.0,15.24
LOAD_SHAFT_1756468379953_292_PM8NIV,LOAD_ROLL_1756468379953_292,49.37,9.39
LOAD_SHAFT_1756468379954_298_CIW5CM,LOAD_ROLL_1756468379954_298,26.58,18.24
LOAD_SHAFT_1756468379954_294_KPMVWU,LOAD_ROLL_1756468379954_294,26.53,11.48
LOAD_SHAFT_1756468379954_296_IX06RQ,LOAD_ROLL_1756468379954_296,36.43,22.81
LOAD_SHAFT_1756468379954_300_NR4PKF,LOAD_ROLL_1756468379954_300,27.31,8.89
LOAD_SHAFT_1756468379954_324_HQVR11,LOAD_ROLL_1756468379954_324,44.02,7.41
LOAD_SHAFT_1756468379954_304_0VS7EO,LOAD_ROLL_1756468379954_304,14.76,22.14
LOAD_SHAFT_1756468379954_328_15B75S,LOAD_ROLL_1756468379954_328,27.08,9.9
LOAD_SHAFT_1756468379954_322_X3FH1Y,LOAD_ROLL_1756468379954_322,35.1,18.37
LOAD_SHAFT_1756468379954_302_GBM3BP,LOAD_ROLL_1756468379954_302,27.53,12.17
LOAD_SHAFT_1756468379954_332_ZIC0GS,LOAD_ROLL_1756468379954_332,13.83,21.65
LOAD_SHAFT_1756468379954_326_LNU04L,LOAD_ROLL_1756468379954_326,43.96,19.57
LOAD_SHAFT_1756468379954_314_PARK0Z,LOAD_ROLL_1756468379954_314,37.27,14.84
LOAD_SHAFT_1756468379954_308_QA7DAA,LOAD_ROLL_1756468379954_308,35.47,17.64
LOAD_SHAFT_1756468379954_320_4X1HEE,LOAD_ROLL_1756468379954_320,24.23,24.96
LOAD_SHAFT_1756468379954_312_GBGZ2A,LOAD_ROLL_1756468379954_312,47.05,13.47
LOAD_SHAFT_1756468379954_316_YMMLDU,LOAD_ROLL_1756468379954_316,22.47,7.39
LOAD_SHAFT_1756468379954_338_57XHII,LOAD_ROLL_1756468379954_338,20.74,12.37
LOAD_SHAFT_1756468379954_318_Q9GWNV,LOAD_ROLL_1756468379954_318,48.7,12.82
LOAD_SHAFT_1756468379954_310_6FVM24,LOAD_ROLL_1756468379954_310,29.93,16.57
LOAD_SHAFT_1756468379954_330_YYF3US,LOAD_ROLL_1756468379954_330,12.22,11.16
LOAD_SHAFT_1756468379954_306_MSAFY4,LOAD_ROLL_1756468379954_306,25.75,19.08
LOAD_SHAFT_1756468379954_342_H8U43P,LOAD_ROLL_1756468379954_342,42.71,12.62
LOAD_SHAFT_1756468379954_334_UMSOBE,LOAD_ROLL_1756468379954_334,21.35,10.65
LOAD_SHAFT_1756468379954_340_4BOO0W,LOAD_ROLL_1756468379954_340,25.2,19.71
LOAD_SHAFT_1756468379954_336_CB6G94,LOAD_ROLL_1756468379954_336,23.28,14.29
LOAD_SHAFT_1756468379954_344_7IDOWU,LOAD_ROLL_1756468379954_344,36.82,13.15
LOAD_SHAFT_1756468379954_346_BGISGO,LOAD_ROLL_1756468379954_346,44.76,12.09
LOAD_SHAFT_1756468379954_348_V3AMQO,LOAD_ROLL_1756468379954_348,32.03,21.64
LOAD_SHAFT_1756468379954_350_2HXJVW,LOAD_ROLL_1756468379954_350,41.97,17.5
LOAD_SHAFT_1756468379954_374_AXF8ZD,LOAD_ROLL_1756468379954_374,14.06,23.77
LOAD_SHAFT_1756468379954_362_RRRDHJ,LOAD_ROLL_1756468379954_362,31.29,8.78
LOAD_SHAFT_1756468379954_364_05874K,LOAD_ROLL_1756468379954_364,14.62,20.29
LOAD_SHAFT_1756468379954_354_NT8E8E,LOAD_ROLL_1756468379954_354,20.96,10.37
LOAD_SHAFT_1756468379954_382_GHW3C1,LOAD_ROLL_1756468379954_382,40.58,12.98
LOAD_SHAFT_1756468379954_372_VP05S4,LOAD_ROLL_1756468379954_372,22.35,9.04
LOAD_SHAFT_1756468379954_352_8OSUXH,LOAD_ROLL_1756468379954_352,42.84,7.42
LOAD_SHAFT_1756468379954_368_7PM8D8,LOAD_ROLL_1756468379954_368,10.33,8.18
LOAD_SHAFT_1756468379954_378_S86YBU,LOAD_ROLL_1756468379954_378,17.84,8.45
LOAD_SHAFT_1756468379954_384_RFUO4O,LOAD_ROLL_1756468379954_384,35.7,21.33
LOAD_SHAFT_1756468379954_388_8O6RDE,LOAD_ROLL_1756468379954_388,12.96,22.31
LOAD_SHAFT_1756468379954_376_54MMYN,LOAD_ROLL_1756468379954_376,17.75,12.34
LOAD_SHAFT_1756468379954_370_TRX8FD,LOAD_ROLL_1756468379954_370,10.76,15.43
LOAD_SHAFT_1756468379954_356_RHHJN7,LOAD_ROLL_1756468379954_356,28.71,5.34
LOAD_SHAFT_1756468379954_392_3CJ1TE,LOAD_ROLL_1756468379954_392,43.46,8.07
LOAD_SHAFT_1756468379954_386_1AR2DU,LOAD_ROLL_1756468379954_386,38.98,23.45
LOAD_SHAFT_1756468379954_360_RDK80O,LOAD_ROLL_1756468379954_360,12.48,12.06
LOAD_SHAFT_1756468379954_366_A7P5QQ,LOAD_ROLL_1756468379954_366,24.57,7.83
LOAD_SHAFT_1756468379954_380_9IWXIN,LOAD_ROLL_1756468379954_380,23.38,18.29
LOAD_SHAFT_1756468379954_390_BV64XW,LOAD_ROLL_1756468379954_390,41.13,13.88
LOAD_SHAFT_1756468379954_358_2RIUA4,LOAD_ROLL_1756468379954_358,47.1,12.46
LOAD_SHAFT_1756468379954_396_7SF58P,LOAD_ROLL_1756468379954_396,43.61,22.74
LOAD_SHAFT_1756468379954_398_YIGYG0,LOAD_ROLL_1756468379954_398,47.0,16.46
LOAD_SHAFT_1756468379954_394_49MO0L,LOAD_ROLL_1756468379954_394,16.61,15.16
LOAD_SHAFT_1756468379954_400_DW9EGO,LOAD_ROLL_1756468379954_400,31.67,12.39
LOAD_SHAFT_1756468379954_420_70K6K4,LOAD_ROLL_1756468379954_420,32.46,6.85
LOAD_SHAFT_1756468379954_416_5LEDVO,LOAD_ROLL_1756468379954_416,21.49,20.32
LOAD_SHAFT_1756468379954_440_GJCUG1,LOAD_ROLL_1756468379954_440,23.47,21.09
LOAD_SHAFT_1756468379954_408_IXHVO0,LOAD_ROLL_1756468379954_408,24.97,14.01
LOAD_SHAFT_1756468379954_434_DNZHK2,LOAD_ROLL_1756468379954_434,43.92,7.52
LOAD_SHAFT_1756468379954_412_XVHB52,LOAD_ROLL_1756468379954_412,45.54,6.08
LOAD_SHAFT_1756468379954_422_5NMRDF,LOAD_ROLL_1756468379954_422,17.6,9.94
LOAD_SHAFT_1756468379954_438_MCDU0I,LOAD_ROLL_1756468379954_438,13.68,21.2
LOAD_SHAFT_1756468379954_414_2NBTF2,LOAD_ROLL_1756468379954_414,38.55,22.45
LOAD_SHAFT_1756468379954_426_GSX5HW,LOAD_ROLL_1756468379954_426,17.11,5.85
LOAD_SHAFT_1756468379954_410_I27HRZ,LOAD_ROLL_1756468379954_410,20.96,9.37
LOAD_SHAFT_1756468379954_402_6AB4X6,LOAD_ROLL_1756468379954_402,45.11,13.61
LOAD_SHAFT_1756468379954_418_RAEOTS,LOAD_ROLL_1756468379954_418,13.13,19.17
LOAD_SHAFT_1756468379954_404_A06322,LOAD_ROLL_1756468379954_404,17.95,6.08
LOAD_SHAFT_1756468379954_428_0OYYWZ,LOAD_ROLL_1756468379954_428,48.37,24.4
LOAD_SHAFT_1756468379954_424_WO2ZY0,LOAD_ROLL_1756468379954_424,45.56,17.32
LOAD_SHAFT_1756468379954_406_30RWH0,LOAD_ROLL_1756468379954_406,17.73,14.77
LOAD_SHAFT_1756468379954_436_6RN3IG,LOAD_ROLL_1756468379954_436,28.86,8.32
LOAD_SHAFT_1756468379954_430_ISVIV3,LOAD_ROLL_1756468379954_430,12.95,12.62
LOAD_SHAFT_1756468379954_432_SYC36V,LOAD_ROLL_1756468379954_432,42.49,8.59
LOAD_SHAFT_1756468379954_442_TE8P4D,LOAD_ROLL_1756468379954_442,18.0,17.3
LOAD_SHAFT_1756468379954_446_MAR9VF,LOAD_ROLL_1756468379954_446,45.92,6.21
LOAD_SHAFT_1756468379954_444_89DBOS,LOAD_ROLL_1756468379954_444,35.51,11.46
LOAD_SHAFT_1756468379954_448_F8CN88,LOAD_ROLL_1756468379954_448,49.83,15.76
LOAD_SHAFT_1756468379954_450_9FQXH3,LOAD_ROLL_1756468379954_450,12.79,5.34
LOAD_SHAFT_1756468379954_468_4KKVS9,LOAD_ROLL_1756468379954_468,30.81,10.01
LOAD_SHAFT_1756468379954_458_27XZMT,LOAD_ROLL_1756468379954_458,49.68,13.13
LOAD_SHAFT_1756468379954_486_E7PID3,LOAD_ROLL_1756468379954_486,33.91,7.7
LOAD_SHAFT_1756468379954_470_QACK6U,LOAD_ROLL_1756468379954_470,38.35,19.88
LOAD_SHAFT_1756468379954_478_9B8C0D,LOAD_ROLL_1756468379954_478,35.57,16.14
LOAD_SHAFT_1756468379954_482_CER5VY,LOAD_ROLL_1756468379954_482,46.03,17.68
LOAD_SHAFT_1756468379954_454_EUFK43,LOAD_ROLL_1756468379954_454,28.09,19.78
LOAD_SHAFT_1756468379954_460_AX8C53,LOAD_ROLL_1756468379954_460,31.75,20.33
LOAD_SHAFT_1756468379954_464_2A3O93,LOAD_ROLL_1756468379954_464,39.5,11.18
LOAD_SHAFT_1756468379954_466_Y8K2CT,LOAD_ROLL_1756468379954_466,29.06,19.12
LOAD_SHAFT_1756468379954_474_TRGW0Y,LOAD_ROLL_1756468379954_474,23.98,9.28
LOAD_SHAFT_1756468379954_488_IKHX15,LOAD_ROLL_1756468379954_488,13.94,8.0
LOAD_SHAFT_1756468379954_452_1QZ3CM,LOAD_ROLL_1756468379954_452,16.24,21.08
LOAD_SHAFT_1756468379954_476_GQNCPJ,LOAD_ROLL_1756468379954_476,45.19,16.84
LOAD_SHAFT_1756468379954_490_QIGJKB,LOAD_ROLL_1756468379954_490,27.73,22.83
LOAD_SHAFT_1756468379954_484_DGWL40,LOAD_ROLL_1756468379954_484,11.2,5.21
LOAD_SHAFT_1756468379954_480_I8VUOD,LOAD_ROLL_1756468379954_480,43.48,18.42
LOAD_SHAFT_1756468379954_472_EPUHP3,LOAD_ROLL_1756468379954_472,38.96,19.95
LOAD_SHAFT_1756468379954_462_VIISSQ,LOAD_ROLL_1756468379954_462,22.11,18.0
LOAD_SHAFT_1756468379954_456_7D292X,LOAD_ROLL_1756468379954_456,17.36,14.56
LOAD_SHAFT_1756468379954_492_NW1K1H,LOAD_ROLL_1756468379954_492,38.58,24.74
LOAD_SHAFT_1756468379954_496_5TNGWC,LOAD_ROLL_1756468379954_496,11.93,23.43
LOAD_SHAFT_1756468379954_494_O04ZM9,LOAD_ROLL_1756468379954_494,23.33,24.53
LOAD_SHAFT_1756468379954_498_0LQUTT,LOAD_ROLL_1756468379954_498,10.38,5.35
LOAD_SHAFT_1756468384369_0_PAP1S1,LOAD_ROLL_1756468384369_0,12.61,16.83
LOAD_SHAFT_1756468384369_5_JDNFCT,LOAD_ROLL_1756468384369_5,13.18,8.85
LOAD_SHAFT_1756468384369_17_B5Q0V4,LOAD_ROLL_1756468384369_17,16.53,24.87
LOAD_SHAFT_1756468384369_7_H2B3G4,LOAD_ROLL_1756468384369_7,13.73,18.01
LOAD_SHAFT_1756468384369_24_SB89MY,LOAD_ROLL_1756468384369_24,45.95,8.43
LOAD_SHAFT_1756468384369_10_D0B89A,LOAD_ROLL_1756468384369_10,38.9,23.81
LOAD_SHAFT_1756468384369_26_UMJAUC,LOAD_ROLL_1756468384369_26,12.33,20.07
LOAD_SHAFT_1756468384369_25_H7UE3V,LOAD_ROLL_1756468384369_25,36.61,9.78
LOAD_SHAFT_1756468384369_38_7XBSVN,LOAD_ROLL_1756468384369_38,45.07,9.34
LOAD_SHAFT_1756468384369_45_C7YWXH,LOAD_ROLL_1756468384369_45,10.84,14.65
LOAD_SHAFT_1756468384371_54_I4AHKV,LOAD_ROLL_1756468384371_54,43.24,10.07
LOAD_SHAFT_1756468384371_63_KLQ80L,LOAD_ROLL_1756468384371_63,19.11,21.94
LOAD_SHAFT_1756468384369_27_5ZMY8Q,LOAD_ROLL_1756468384369_27,23.38,8.99
LOAD_SHAFT_1756468384369_47_O90K0L,LOAD_ROLL_1756468384369_47,19.67,11.74
LOAD_SHAFT_1756468384371_79_68DNOZ,LOAD_ROLL_1756468384371_79,23.47,7.01
LOAD_SHAFT_1756468384371_49_SQE1Q7,LOAD_ROLL_1756468384371_49,26.44,8.39
LOAD_SHAFT_1756468384369_29_0M43F6,LOAD_ROLL_1756468384369_29,18.49,10.43
LOAD_SHAFT_1756468384371_83_N8BWLO,LOAD_ROLL_1756468384371_83,18.95,10.31
LOAD_SHAFT_1756468384369_36_6ICP6H,LOAD_ROLL_1756468384369_36,27.47,6.94
LOAD_SHAFT_1756468384369_44_ESAMVL,LOAD_ROLL_1756468384369_44,18.54,21.79
LOAD_SHAFT_1756468384371_96_L5G49I,LOAD_ROLL_1756468384371_96,49.84,21.57
